POS,Player,Team,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
78,Sreenath Aravind,RCB,38,38,126,1039,45,4/14,23.09,8.2,16.89,2,0
79,Pat Cummins,KKR,42,42,158,1357,45,4/34,30.16,8.54,21.18,1,0
80,Varun Aaron,GT,52,50,164,1481,44,3/16,33.66,8.94,22.59,0,0
81,Yusuf Pathan,SRH,174,82,191,1415,42,3/20,33.69,7.4,27.31,0,0
82,Moises Henriques,PBKS,62,60,158,1289,42,3/12,30.69,8.14,22.62,0,0
83,Andrew Tye,LSG,30,30,114,979,42,5/17,23.31,8.59,16.29,3,1
84,Sam Curran,PBKS,46,45,155,1484,42,4/11,35.33,9.52,22.26,1,0
85,Iqbal Abdulla,RCB,49,48,153,1109,40,3/24,27.73,7.23,23,0,0
86,Rahul Sharma,DC,44,44,154,1086,40,3/13,27.15,7.02,23.2,0,0
87,Shanthakumaran Sreesanth,RR,44,44,146,1194,40,3/29,29.85,8.14,22,0,0
88,Parvinder Awana,PBKS,33,33,124,1029,39,4/34,26.38,8.27,19.15,1,0
89,Marcus Stoinis,LSG,82,55,117,1148,39,4/15,29.44,9.58,18.44,1,0
90,Dan Christian,RCB,49,49,147,1192,38,2/10,31.37,8.1,23.24,0,0
91,Pradeep Sangwan,GT,42,42,143,1240,38,3/18,32.63,8.67,22.58,0,0
92,Manpreet Gony,PBKS,44,44,148,1287,37,3/31,34.78,8.7,24,0,0
93,Doug Bollinger,CSK,27,27,96,693,37,4/13,18.73,7.22,15.57,1,0
94,Lockie Ferguson,KKR,38,38,134,1171,37,4/28,31.65,8.66,21.92,1,0
95,Yuvraj Singh,MI,132,73,144,1077,36,4/29,29.92,7.44,24.14,2,0
96,Mitchell Marsh,DC,38,31,84,692,36,4/25,19.22,8.11,14.22,2,0
97,Washington Sundar,SRH,58,56,170,1252,36,3/16,34.78,7.34,28.44,0,0
98,Josh Hazlewood,RCB,27,27,100,810,35,4/25,23.14,8.06,17.23,1,0
99,Murugan Ashwin,RR,44,44,144,1162,35,3/21,33.2,8.01,24.86,0,0
100,Wayne Parnell,RCB,33,33,120,937,35,3/10,26.77,7.78,20.66,0,0
101,Wanindu Hasaranga,RCB,26,26,92,748,35,5/18,21.37,8.13,15.77,1,1
102,Pawan Negi,RCB,50,42,119,939,34,4/18,27.62,7.87,21.06,1,0
103,Mitchell Starc,RCB,27,26,96,693,34,4/15,20.38,7.17,17.06,1,0
104,Kevon Cooper,RR,25,25,96,757,33,4/26,22.94,7.89,17.45,1,0
105,Moeen Ali,CSK,59,48,117,822,33,4/26,24.91,6.95,21.52,1,0
106,Rahul Tewatia,GT,81,52,140,1111,32,3/18,34.72,7.91,26.34,0,0
107,Thisara Perera,RPS,37,36,116,1016,31,3/20,32.77,8.73,22.52,0,0
108,Murali Kartik,RCB,56,55,191,1388,31,3/17,44.77,7.25,37.06,0,0
109,Glenn Maxwell,RCB,124,73,141,1174,31,2/15,37.87,8.31,27.35,0,0
110,Chris Woakes,DC,21,21,73,658,30,3/36,21.93,8.97,14.67,0,0
111,Shivam Mavi,KKR,32,32,108,942,30,4/21,31.4,8.71,21.63,1,0
112,Chris Jordan,MI,34,34,110,1070,30,4/11,35.67,9.61,22.27,1,0
113,Ajit Agarkar,DC,42,42,130,1151,29,3/25,39.69,8.83,26.97,0,0
114,Azhar Mahmood,KKR,23,23,89,700,29,3/20,24.14,7.82,18.52,0,0
115,Umran Malik,SRH,25,25,81,757,29,5/25,26.1,9.33,16.79,1,1
116,Adam Zampa,RR,20,20,70,558,29,6/19,19.24,7.99,14.45,0,1
117,Mayank Markande,SRH,30,30,98,810,29,4/15,27.93,8.27,20.28,2,0
118,Pravin Tambe,GL,33,33,110,853,28,4/20,30.46,7.75,23.57,1,0
119,Amit Singh,RR,23,23,78,620,28,4/19,22.14,7.86,16.89,1,0
120,Ben Stokes,CSK,45,38,115,992,28,3/15,35.43,8.64,24.61,0,0
121,Angelo Mathews,DC,49,44,131,1079,27,4/19,39.96,8.18,29.3,1,0
122,Dwayne Smith,GL,91,46,89,810,26,4/8,31.15,9.02,20.73,1,0
123,Lungi  Ngidi,DC,14,14,54,448,25,4/10,17.92,8.3,12.96,1,0
124,Johan Botha,KKR,34,34,115,800,25,3/6,32,6.92,27.76,0,0
125,Brett Lee,KKR,38,38,145,1095,25,3/15,43.8,7.51,35,0,0
126,Harmeet Singh Bansal,PBKS,27,26,84,674,25,3/24,26.96,7.98,20.28,0,0
127,Suresh Raina,CSK,205,69,151,1118,25,2/0,44.72,7.39,36.32,0,0
128,Rishi Dhawan,PBKS,38,35,107,856,25,2/14,34.24,7.98,25.76,0,0
129,Tushar Deshpande,CSK,23,23,80,819,25,3/45,32.76,10.13,19.4,0,0
130,Ankit Rajpoot,RR,29,29,88,814,24,5/14,33.92,9.23,22.04,0,1
131,Brad Hogg,KKR,21,21,76,570,23,4/29,24.78,7.47,19.91,1,0
132,Shaun Tait,RR,21,21,78,640,23,3/13,27.83,8.12,20.57,0,0
133,MF Maharoof,DC,17,17,60,455,23,3/34,19.78,7.58,15.65,0,0
134,JP Duminy,MI,83,49,113,834,23,4/17,36.26,7.38,29.48,1,0
135,Navdeep Saini,RR,32,32,109,974,23,3/40,42.35,8.88,28.61,0,0
136,Maheesh Theekshana,CSK,22,22,84,653,23,4/33,28.39,7.77,21.91,1,0
137,Ben Hilfenhaus,CSK,17,17,62,479,22,3/27,21.77,7.73,16.91,0,0
138,Stuart Binny,RR,95,63,99,758,22,2/14,34.45,7.66,27,0,0
139,Basil Thampi,MI,25,25,86,846,22,3/29,38.45,9.74,23.68,0,0
140,Daniel Vettori,RCB,27,27,106,698,21,3/19,33.24,6.56,30.38,0,0
141,Roelof van der Merwe,DC,21,21,73,498,21,3/20,23.71,6.74,21.1,0,0
142,Krishnappa Gowtham,LSG,35,34,96,779,21,2/12,37.1,8.11,27.43,0,0
143,Matheesha Pathirana,CSK,14,14,52,423,21,3/15,20.14,7.96,15.19,0,0
144,Yo Mahesh,DC,17,16,54,474,20,4/36,23.7,8.7,16.35,1,0
145,Andrew Symonds,MI,39,30,87,674,20,3/21,33.7,7.67,26.35,0,0
146,Chetan Sakariya,DC,19,19,71,599,20,3/31,29.95,8.44,21.3,0,0
147,Alzarri Joseph,GT,19,19,62,576,20,6/12,28.8,9.19,18.8,0,1
148,Kane Richardson,RCB,15,15,55,472,19,3/13,24.84,8.45,17.63,0,0
149,Mujeeb Ur Rahman,SRH,19,19,72,592,19,3/27,31.16,8.18,22.84,0,0
150,Dimitri Mascarenhas,PBKS,13,13,51,356,19,5/25,18.74,6.94,16.21,0,1
151,Jagadeesha Suchith,SRH,22,21,70,602,19,2/12,31.68,8.6,22.11,0,0
152,Riley Meredith,MI,18,18,64,612,19,2/24,32.21,9.46,20.42,0,0
153,Marco Jansen,SRH,18,18,65,586,19,3/25,30.84,9.02,20.53,0,0
154,Jason Behrendorff,MI,17,17,61,552,19,3/23,29.05,9.05,19.26,0,0
155,Ishwar Pandey,CSK,25,24,77,591,18,2/23,32.83,7.68,25.67,0,0
156,Barinder Sran,MI,24,24,80,757,18,3/28,42.06,9.4,26.83,0,0
157,Chris Gayle,PBKS,142,38,92,729,18,3/21,40.5,7.9,30.78,0,0
158,Anureet Singh,RR,23,22,68,623,18,3/23,34.61,9.07,22.89,0,0
159,Harpreet Brar,PBKS,28,26,75,592,18,4/30,32.89,7.88,25.06,1,0
160,Bipul Sharma,SRH,33,28,71,572,17,2/13,33.65,8.06,25.06,0,0
161,Nathan Ellis,PBKS,15,15,56,492,17,4/30,28.94,8.79,19.76,1,0
